Club,Country,Date,Elo,Level
Tottenham,ENG,2001-11-24,1690.83813477,1
Ipswich,ENG,2001-11-24,1683.59350586,1
Middlesbrough,ENG,2001-11-24,1670.79162598,1
Charlton,ENG,2001-11-24,1664.9576416,1
Blackburn,ENG,2001-11-24,1659.78833008,1
Everton,ENG,2001-11-24,1658.13659668,1
Fulham,ENG,2001-11-24,1655.70703125,1
West Ham,ENG,2001-11-24,1641.33422852,1
Bolton,ENG,2001-11-24,1635.07141113,1
Southampton,ENG,2001-11-24,1613.67993164,1
Derby,ENG,2001-11-24,1596.41186523,1
Leicester,ENG,2001-11-24,1592.16088867,1
Liverpool,ENG,2001-12-01,1864.40075684,1
Man United,ENG,2001-12-01,1854.05969238,1
Leeds,ENG,2001-12-01,1841.96801758,1
Arsenal,ENG,2001-12-01,1804.94995117,1
Chelsea,ENG,2001-12-01,1754.31213379,1
Aston Villa,ENG,2001-12-01,1728.96643066,1
Newcastle,ENG,2001-12-01,1717.68530273,1
Sunderland,ENG,2001-12-01,1703.34533691,1
Tottenham,ENG,2001-12-01,1699.24987793,1
Ipswich,ENG,2001-12-01,1685.19421387,1
Middlesbrough,ENG,2001-12-01,1669.19091797,1
Blackburn,ENG,2001-12-01,1664.30297852,1
Everton,ENG,2001-12-01,1658.25244141,1
Charlton,ENG,2001-12-01,1657.48999023,1
Fulham,ENG,2001-12-01,1657.1184082,1
Bolton,ENG,2001-12-01,1633.66003418,1
West Ham,ENG,2001-12-01,1632.92248535,1
Southampton,ENG,2001-12-01,1621.14758301,1
Derby,ENG,2001-12-01,1592.75671387,1
Leicester,ENG,2001-12-01,1592.04504395,1
Liverpool,ENG,2001-12-04,1867.80126953,1
Leeds,ENG,2001-12-04,1838.6661377,1
Man United,ENG,2001-12-04,1833.11437988,1
Arsenal,ENG,2001-12-04,1814.28869629,1
Chelsea,ENG,2001-12-04,1775.25756836,1
Newcastle,ENG,2001-12-04,1718.0144042999998,1
Aston Villa,ENG,2001-12-04,1710.37792969,1
Sunderland,ENG,2001-12-04,1707.97277832,1
Tottenham,ENG,2001-12-04,1704.05041504,1
Middlesbrough,ENG,2001-12-04,1678.83117676,1
Ipswich,ENG,2001-12-04,1675.85534668,1
Everton,ENG,2001-12-04,1666.01855469,1
Fulham,ENG,2001-12-04,1660.42028809,1
Charlton,ENG,2001-12-04,1657.16101074,1
Blackburn,ENG,2001-12-04,1654.66271973,1
Bolton,ENG,2001-12-04,1628.85961914,1
West Ham,ENG,2001-12-04,1628.29504395,1
Southampton,ENG,2001-12-04,1613.38146973,1
Leicester,ENG,2001-12-04,1610.63342285,1
Derby,ENG,2001-12-04,1589.35632324,1
Liverpool,ENG,2001-12-08,1870.4744873,1
Leeds,ENG,2001-12-08,1838.16101074,1
Man United,ENG,2001-12-08,1836.95275879,1
Arsenal,ENG,2001-12-08,1821.93212891,1
Chelsea,ENG,2001-12-08,1762.62011719,1
Newcastle,ENG,2001-12-08,1717.93969727,1
Aston Villa,ENG,2001-12-08,1709.83569336,1
Sunderland,ENG,2001-12-08,1707.89819336,1
Tottenham,ENG,2001-12-08,1703.97570801,1
Middlesbrough,ENG,2001-12-08,1678.75646973,1
Charlton,ENG,2001-12-08,1669.64904785,1
Everton,ENG,2001-12-08,1665.94384766,1
Ipswich,ENG,2001-12-08,1661.49194336,1
Fulham,ENG,2001-12-08,1660.34558105,1
